order_date,order_number,line_item,product_key,quantity,customer_key,store_key,currency_code,delivery_date
2016-01-01,366000,1,1304,1,265598,10,CAD,
2016-01-01,366001,1,1048,2,1269051,0,USD,2016-01-13
2016-01-01,366001,2,2007,1,1269051,0,USD,2016-01-13
2016-01-01,366002,1,1106,7,266019,0,CAD,2016-01-12
2016-01-01,366002,2,373,1,266019,0,CAD,2016-01-12
2016-01-01,366002,3,1080,4,266019,0,CAD,2016-01-12
2016-01-01,366004,1,163,6,1107461,38,GBP,
2016-01-01,366004,2,1529,2,1107461,38,GBP,
2016-01-01,366005,1,421,4,844003,33,EUR,
2016-01-01,366007,1,1617,1,2035771,43,USD,
2016-01-01,366007,2,666,5,2035771,43,USD,
2016-01-01,366008,1,1154,9,759705,29,EUR,
2016-01-01,366008,2,2510,1,759705,29,EUR,
2016-01-01,366008,3,1060,5,759705,29,EUR,
2016-01-01,366009,1,1648,1,254540,9,CAD,
2016-01-01,366010,1,618,5,370077,0,CAD,2016-01-08
2016-01-01,366011,1,128,7,1984985,66,USD,
2016-01-01,366011,2,1638,1,1984985,66,USD,
2016-01-01,366011,3,1634,1,1984985,66,USD,
2016-01-01,366011,4,2392,3,1984985,66,USD,
2016-01-01,366012,1,1807,1,1977527,65,USD,
2016-01-01,366012,2,1594,4,1977527,65,USD,
2016-01-01,366012,3,1297,1,1977527,65,USD,
2016-01-01,366013,1,1654,5,1187306,41,GBP,
2016-01-01,366014,1,123,1,738549,0,EUR,2016-01-06
2016-01-01,366014,2,1700,2,738549,0,EUR,2016-01-06
2016-01-01,366016,1,1253,7,1982762,63,USD,
2016-01-02,367000,1,1176,1,1438050,56,USD,
2016-01-02,367003,1,153,2,980164,40,GBP,
2016-01-02,367004,1,136,1,1853699,56,USD,
2016-01-02,367004,2,1637,4,1853699,56,USD,
2016-01-02,367005,1,1691,1,758280,0,EUR,2016-01-10
2016-01-02,367005,2,319,2,758280,0,EUR,2016-01-10
2016-01-02,367005,3,1674,8,758280,0,EUR,2016-01-10
2016-01-02,367005,4,2511,9,758280,0,EUR,2016-01-10
2016-01-02,367005,5,1720,2,758280,0,EUR,2016-01-10
2016-01-02,367005,6,1597,7,758280,0,EUR,2016-01-10
2016-01-02,367005,7,784,1,758280,0,EUR,2016-01-10
2016-01-02,367006,1,2445,3,693285,18,EUR,
2016-01-02,367007,1,65,7,1730985,57,USD,
2016-01-02,367007,2,1432,9,1730985,57,USD,
2016-01-02,367008,1,1951,3,763246,28,EUR,
2016-01-02,367009,1,934,1,1512558,57,USD,
2016-01-02,367009,2,930,8,1512558,57,USD,
2016-01-02,367009,3,1436,5,1512558,57,USD,
2016-01-02,367009,4,1547,3,1512558,57,USD,
2016-01-02,367009,5,53,5,1512558,57,USD,
2016-01-02,367010,1,917,1,1322959,66,USD,
2016-01-02,367010,2,39,1,1322959,66,USD,
2016-01-02,367011,1,39,1,507981,22,EUR,
2016-01-02,367012,1,1653,5,209990,9,CAD,
2016-01-02,367012,2,145,3,209990,9,CAD,
2016-01-02,367013,1,1733,2,815458,31,EUR,
2016-01-02,367013,2,41,6,815458,31,EUR,
2016-01-02,367014,1,1184,3,1839627,56,USD,
2016-01-02,367015,1,2296,7,911025,42,GBP,
2016-01-02,367016,1,1487,1,1633409,63,USD,
2016-01-02,367016,2,558,7,1633409,63,USD,
2016-01-02,367016,3,206,3,1633409,63,USD,
2016-01-02,367017,1,1203,4,1612400,47,USD,
2016-01-02,367018,1,1245,2,1301565,59,USD,
2016-01-02,367018,2,1973,4,1301565,59,USD,
2016-01-02,367018,3,731,4,1301565,59,USD,
2016-01-02,367019,1,1947,2,793573,29,EUR,
2016-01-02,367019,2,1645,7,793573,29,EUR,
